id,product_name,desc1,desc2,desc3,categories,product_image,discount_price,actual_price,subcategories,quantity_desc,save_rs,hidden
155,Everest Black Pepper Powder,• Fine ground and really aromatic Everest Black Pepper Powder is well-known for its exceptional flavor,• It has a hot taste and spicy,"• It's made by grinding peppercorns, which are dried berries from the vine Piper nigrum",Masalas & Spices,Everest_Black_Pepper_Powder.jpg,72,76,1,50gm,4,Everest Black Pepper Masala Everest Kali Miri Masala Everest Pepper Powder Evrest Black Pepper Powder Masala Everest Masalas Everest  Masala Everest Powders Everest Kala Miri Powder
57,Moong Dal Chilka,"• It is rich in Vitamin A, B, C and E",• Healthy weight loss food as it is a low-fat food rich in proteins and fibre,"• It tastes delicious, especially when cooked with Indian spices.",Dal & Pulses,Moong_Dal_Chilka.,24,29,0,250gm,5,Green Moong Dal Maash Moong dal Mung Bean Monggo Munggo split green gram spilit fotra wali mag ni dal mag dal chilka dal Green Moong Dal Split
250,Bhuna Chana,• One such healthy snack that can easily be added in your weight loss diet i,• They also offer a multitude of nutrients that support just as many aspects of human health,• Chana contains a lot of protein. Eating chana everyday ensures that you get your daily quota of protein,Atta & Flour,Bhuna_Chana.jpg,50,70,0,500gm,20,Dry Roasted Chana Dal Chana Roasted Black Gram Roasted Chickbeans Roasted Bengal Gram
18,Akhrot,• Rich in Antioxidants,• Supports Weight Control,• Super Plant Source of Omega-3s,Dry Fruits,akhrot0802.jpg,1260,1400,1,1kg,140,Walnut Mahogany Akrot Dry Brain Brain shape Akhrat Akrat
91,Besan,• Rich in vitamins and minerals,• Packed with fiber,• It has a nutty flavor and provides a rich supply of protein,Atta & Flour,Basan.jpg,80,100,1,1kg,20,Chane ka Atta Chana Atta Gram Flour Gram Flour Garbanzo Bean Flour Basan Beson Bason Beson Besan Flour
176,Penne Pasta,•  Pasta Penne is made with 100% fine quality Durum wheat,"• Very healthy since it is nil cholesterol, nil fat and good source of Iron, Protein and fiber","• The perfect hollow center of the pasta helps hold sauce, and makes it more delicious",Pasta & Fries,0,30,60,0,500gm,30,Pasta Penne Wheat Pasta Organic Pasta Durum Pasta Durum Wheat Pasta Organic Wheat Pasta
97,Sooji - Rawa,"• Instant Energy, Increases Iron","• Supports Nervous System, Heart Health, Promotes Weight Loss",• Pure and natural product,Atta & Flour,Sujji_-_Rava.jpg,10,12,0,250gm,2,Sujji Suji Rava Semolina Granulated Wheat
215,Rice 5 Star,"• Medium-grained, export quality rice from Swarno Dhan",• Healthy rice at affordable price,O,Rice & Wheat,Rice_5_Star.jpg,1375,1500,1,25kg,125,0
93,Besan,• Rich in vitamins and minerals,• Packed with fiber,• It has a nutty flavor and provides a rich supply of protein,Atta & Flour,Basan.jpg,20,25,0,250gm,5,Chane ka Atta Chana Atta Gram Flour Gram Flour Garbanzo Bean Flour Basan Beson Bason Beson Besan Flour
234,Khopra Katta,• Dry Copra/Coconut is rich in dietary fibre and it helps in having a healthy heart,"• It improves brain function, boosts the immune system, reduces anaemia and the risk of cancer",• Dry coconut whole (Gola) is a good dry fruits for health,Dal & Pulses,Khopra_Katta.jpg,60,65,0,250gm,5,Copra Dry Coconut Kopra Gota Gotta Dry Coconut Halves Nariyal Narel Copra Kopra Dry Nariyal Coconut Kuridi Kobbari Sabut Gola Coconut Sabut Gota
195,Sugar,"• Refined, sparkling white and easy to dissolve sugar crystals",• Made from superior quality Sugarcane,• It is free from harmful chemicals like sulphur,Sugar & Salt,0,20,22,0,500gm,2,Table sugar granulated sugar regular sugar Simple sugars monosaccharides Sacker Saker sekar Sackar Sakar
166,Dhania Whole,"• Dhawak Whole coriander seed for flavorful curries, salsas, dips and grains","• Coriander seeds hoard a number of minerals like calcium, iron, potassium, zinc, magnesium and copper",• Helpful in preserving food,Masalas & Spices,Dhaniya_Whole.jpg,100,120,0,500gm,20,Whole Coriander Seeds Dhaniya Seeds Cilantro Chinese Parsley Coriandrum sativum Dhawak Whole Coriander Seeds Sabut Dhaniya Dhana Sabut Dhaniya Dana Sabut Dhana
46,Masoor Dal,"• Full of vitamins, minerals",• Contains essential oils and enzymes,• Including Masoor Dal in your daily meals comes with a host of benefits,Dal & Pulses,Masoor_Dal.jpg,94,98,1,1kg,4,Red Lentil Masur Dall Split Masoor Dal Split Spilit Masur Dal
163,Everest Dry Mango Powder,• Made from the choicest of young mangoes in the latest dehydrating technology,"• Freshness, hygiene, rich aroma and longer shelf life",• Everest Amchur Powder,Masalas & Spices,Everest_Dry_Mango_Powder.jpg,45,47,1,50gm,2,Everest Amchur Masalas Evrest Dry Mango Masalas Evrest Amchur Masalas Everest Mango Masalas Everest Masalas Evrest Mango Masalas
99,Maida,• Contains high amounts of many nutrients,"• Has  fibre, vitamins, iron, magnesium, phosphorus, manganese and selenium",• Made without any preservatives or artificial colouring,Atta & Flour,Maida.jpg,20,24,0,500gm,4,Refined flour Simply flour Meda Meida Refined Wheat Flour
226,Basmati Tukda,• Broken Basmati Rice with Fragrance,• No artificial flavours or preservatives,• Non-sticky and offers delightful taste,Rice & Wheat,Basmati_Tukda.jpg,25,27,0,500gm,2,Basmati Rice Tukda Rice Basmati Long rice tukda Basmati Rice Broken Rice Basmati Broken Basmati Chaval Tukda Chaval basmati tukda chaval Basmati Chaaval Tukda Chaaval basmati tukda chaaval
290,Makhana,0,0,0,Upvas itams,0,150,200,0,250gm,50,Mhakhana makhana
15,Anjeer,• Sustains Weight Loss,• Regulates Blood Pressure,• Stronger Bones,Dry Fruits,anjeer0802.jpg,1100,1200,1,1kg,100,Small Pear Anjir Anjiir Angir Angeer Anger Anjer
7,Badam,• Massive Amount of Nutrients,• High in Vitamin E,• Almonds Are Loaded With Antioxidants,Dry Fruits,badam0802.jpg,165,190,0,250gm,25,Almond Prunus dulcis Badem Bedam Almand Almend Olmand Olmond
253,Mirchi Whole,• Marwar Dry Red Chilies have No Artificial flavors and Preservatives,• Chilly contains rich level of vitamin C level & has a range of health benefits,• Used extensively for hot and spicy taste,Masalas & Spices,Mirchi_Whole.jpg,170,190,0,500gm,20,Chilli Whole Lal Mirchi Sabut Whole Chilli Red Chillies Natural Whole Red Chilli Sabut Tikhi Mirchi Hot Dried Sabut Lal Mirch Long with Stem Sabut Lal Mirch Sabut Mirchi Whole
87,White Mutter,• They're Filling and an Excellent Source of Protein,• Support Healthy Blood Sugar Control,• Sortex cleaned and superior quality,Dal & Pulses,White_Mutter.jpg,19,25,0,250gm,6,White Peas White Vatana Dried White Peas Safed Vatane Dried Peas Safed Vatana White Muter GUNJA SAFED SEEDS CHIRMATI SAFED BEEJ
69,Urad Dal,• Dals are a rich source of protein,• No artificial flavours. No preservatives,• This helps boost the energy levels in the body and keeps you active,Dal & Pulses,Urad_Dal.jpg,27,30,0,250gm,3,White Dal Dhosa Dal Idli Dal Dosa Dal Idli Dosa Dal Edli Dal Orad Dal
20,Akhrot,• Rich in Antioxidants,• Supports Weight Control,• Super Plant Source of Omega-3s,Dry Fruits,akhrot0802.jpg,315,350,0,250gm,35,Walnut Mahogany Akrot Dry Brain Brain shape Akhrat Akrat
23,Kharik,• Good source of fibre,• Enhance the absorption of foods,• Rich in polyphenols,Dry Fruits,kharik0802.jpg,85,100,0,250gm,15,Sugar date palm Dry dates Chovara Karik Dry Detes
254,Mirchi Whole,• Marwar Dry Red Chilies have No Artificial flavors and Preservatives,• Chilly contains rich level of vitamin C level & has a range of health benefits,• Used extensively for hot and spicy taste,Masalas & Spices,Mirchi_Whole.jpg,85,100,0,250gm,15,Chilli Whole Lal Mirchi Sabut Whole Chilli Red Chillies Natural Whole Red Chilli Sabut Tikhi Mirchi Hot Dried Sabut Lal Mirch Long with Stem Sabut Lal Mirch Sabut Mirchi Whole
25,Patanjali Ghee,• Increases memory,• Increases the power of digestion,• Keeps you healthy as well has a delicious taste and rich aroma,Ghee Oil,patanjali-ghee.jpg,620,630,1,1L,10,Pure quality Pure Ghee Pure Ghi Desi Ghee Patenjali Ghee Patanjali Ghi Patenjali Ghi
70,Urad Chilka,• Rich in flavour and antioxidants,• Urad Dal Chilka helps to maintain blood sugar,• Dals are a rich source of protein,Dal & Pulses,Urad_Chilka.jpg,96,112,1,1kg,16,Kala Dal Urad Split Black Urad Split Black Dal Urad Dal Chilka Urad Spilit Dal Urad Split Dal Orad dal
162,Everest Kashmirilal Chili Powder,• It is uses in Indian dishes for their reddish colour and hot taste,• Chillies are a great source of vitamin C and good for digestion,"• Everest Powder, Kashmirilal Briliant Red Chili Powder | Everest Kasmiri Chili Powder | Chilli Powder",Masalas & Spices,Everest_Kasmiri_Chili_Powder.jpg,95,100,1,100gm,5,Everest Chilli Masalas Everest Kashmirilal Powder Evrest Kashmirilal Chili Masalas Evrest Chilli Masalas Everest Chili Masalas Everest Masalas Everest Kashmiri Masalas
64,Chana,• Kala Chana is a super source of protein,• Cuts Down Cholesterol Levels,• A powerhouse of energy and vigour,Dal & Pulses,Chana.jpg,68,84,1,1kg,16,Desi Chana Roasted Chana Chickpea Kala Chana Green Chick Peas Bengal Gram Garbanzo Garbanzo Bean Egyptian Pea Black chana
38,Silver Coin Atta,• Made from MP's Premium Wheat,• Keeps Roti softer and fresher for longer time,• Silver coin traditional chakki atta,Atta & Flour,Silver_Coin_Atta.jpg,395,495,0,10kg,100,Wheat Flour Gehu Atta Silver Atta Gehu ka atta Gehu Flour Silver Coin Flour Ata Wheat Atta Gehu Ata Wheat Ata
172,Screw Pasta,"• It is packed and loaded with a variety of essential nutrients making your pasta wholesome, healthy and nutritious",• Has the taste and flavor of great pasta,• Enriched with protein and fiber makes it a healthy choice,Pasta & Fries,Screw_Pasta.jpg,60,120,1,1kg,60,Spirali Pasta Fusilli Pasta Spiral Pasta Organic Pasta Skrew Pasta
208,Prasad,• Used For Prasad at Home or in Ceremonies,• Mainly used while worshipping.,• No Chemicals / Preservatives,Sugar & Salt,Prasad.jpg,36,50,0,500gm,14,Sweet Balls Prasad Dana Sweet Sugar Coated Peanuts Sweet Makhana Dana Sweet Makhana Dana Sugar Makhana Dana SWEET BALLS SUGAR BALLS sugar balls prasad puja white
236,Imli,"• Tamarind is a delicious, sweet fruit that has a wide variety of uses and applications, both for medicinal and culinary purposes","• These include a significant level of vitamin C, as well as vitamin E, B vitamins, calcium, iron, phosphorous, potassium, manganese, and dietary fiber",• The pulp of the fruit is a rich source of many essential nutrients,Dal & Pulses,Emli.jpg,16,20,0,100gm,4,Tamarind Imli Tamarindus indica Emli Tamrind
24,Kimia Dates,• Free from cholesterol,• Powerhouse of natural nutrition,"• 100% Natural Contents: No Artificial Colours, Flavours or Preservatives",Dry Fruits,Kimia.jpg,170,250,1,500gm,80,Bam Dates Khajur Black Khajur Kajur Kemia Kimea
109,Rai,• This is 100 % Natural,• Rai is also known for its high anti-inflammatory effects,"• Relieves muscle pain, Skin and hair care",Masalas & Spices,Rai.jpg,60,70,0,500gm,10,Mustard seeds Mastard Seeds Black Sarson Black Mustard Black Mastard Black Sarsoon
127,Ajwain,"• Ajwain possess carminative, antimicrobial and liver protective properties","• Remedy for gastrointestinal problems like indigestion, flatulence and colic pain",• Instant Relief from Acidity and Indigestion,Masalas & Spices,Ajvine.jpg,26,36,0,100gm,10,Ajowan Trachyspermum Ammi Ajvine Ajowan Caraway Thymol Seeds Bishop's Weed Carom Seeds Ajjvain Ajvan
152,Everest Rajma Masala,"• Recreates grandma's secret rajma flavour, spice by pure spice and brings back the real taste of rajma",• It gives the thick curries and add the flavor of spices or make their taste and texture of rajma are good.,"• This wholesome dish needs an authentic touch of spices to make it burst into rich, sumptuous flavours",Masalas & Spices,Everest_Rajma_Masala.jpg,29,31,1,50gm,2,Everest Masalas Evrest Rajma Masala
58,Moong Whole,"• It is rich in Vitamin A, B, C and E",• Healthy weight loss food as it is a low-fat food rich in proteins and fibre,• It is lighter and easier to digest,Dal & Pulses,Moong_Whoal.jpg,96,116,1,1kg,20,Green Gram  Maash Moong Mung Bean Monggo Munggo full mung dalgreen gram golden gram green soy
77,Rajma White,• Regulates Blood Sugar,"• Heart Healthy, Prevents Cancer, Sustains Weight Loss, Strengthens Bones",• No Added Colours. No Preservatives. No artificial flavours,Dal & Pulses,Rajma_White.jpg,72,77,0,500gm,5,Chitra Rajma White Kidney Beans White Rajma Safed Rajma Safed
165,Dhania Whole,"• Dhawak Whole coriander seed for flavorful curries, salsas, dips and grains","• Coriander seeds hoard a number of minerals like calcium, iron, potassium, zinc, magnesium and copper",• Helpful in preserving food,Masalas & Spices,Dhaniya_Whole.jpg,200,240,1,1kg,40,Whole Coriander Seeds Dhaniya Seeds Cilantro Chinese Parsley Coriandrum sativum Dhawak Whole Coriander Seeds Sabut Dhaniya Dhana Sabut Dhaniya Dana Sabut Dhana
207,Prasad,• Used For Prasad at Home or in Ceremonies,• Mainly used while worshipping.,• No Chemicals / Preservatives,Sugar & Salt,Prasad.jpg,72,100,1,1kg,28,Sweet Balls Prasad Dana Sweet Sugar Coated Peanuts Sweet Makhana Dana Sweet Makhana Dana Sugar Makhana Dana SWEET BALLS SUGAR BALLS sugar balls prasad puja white
12,Pista (Salted),• Salted,"• High in antioxidants , Low in calories",• Low in calories yet high in protein,Dry Fruits,Pista_(Salted).jpg,1100,1200,1,1kg,100,Pistachios Green almonds Salted Pista Namak vala pista Pista Salted Pistachious Pistachoes
60,Moong Whole,"• It is rich in Vitamin A, B, C and E",• Healthy weight loss food as it is a low-fat food rich in proteins and fibre,• It is lighter and easier to digest,Dal & Pulses,Moong_Whoal.jpg,24,30,0,250gm,6,Green Gram  Maash Moong Mung Bean Monggo Munggo full mung dalgreen gram golden gram green soy
68,Urad Dal,• Dals are a rich source of protein,• No artificial flavours. No preservatives,• This helps boost the energy levels in the body and keeps you active,Dal & Pulses,Urad_Dal,54,60,0,500gm,6,White Dal Dhosa Dal Idli Dal Dosa Dal Idli Dosa Dal Edli Dal Orad Dal
89,Chawli - Lobia,"• Contains vitamin B1, vitamin A - a vision-enhancing nutrient",• Essential for glucose metabolism in the body,"• It has a delicate, crazy aroma and a rich creamy flavor that is vaguely earthy",Dal & Pulses,Chavli_-_Lobhiya.jpg,44,50,0,500gm,6,Chavlie Lobhiya Rongi Lobiya Chevli Chavalie Chawalie
143,Everest Paw Bhaji Masala,• It is used to make tasty spicy pav bhaji,• The masala is made up of eminence of ingredients,• This provides the exact balance between the spice-elements and extra ingredients in the dish,Masalas & Spices,Everest_Paw_Bhaji_Masala.jpg,39,41,1,50gm,2,Everest PawBhaji Masala Evrest PawBhaji Masala Pawbhagi Masala  Special PawBhaji Masala Everest Paw Bhaji Powder EverestMasalas Everest Masalas
128,Mangrel,• Contain more than 100 components and possess excellent healing properties,"• It has been used for over 2000 years as a medicine for treatment of headache, toothache, nasal congestion and skin diseases","• These beneficial seeds are considered to be packed with trace elements, vitamins, amino acids, saponins, protiens, fatty acids including linolieic and linolenic, volatile acids, sodium, potassium and many others",Masalas & Spices,Mangrel.jpg,90,100,1,250gm,10,Kalungi Kalunji Black Nigella Seeds Black Negela Seeds Black Nigela Seeds Kalonji Kalongi Karinjeerakam Kalanjire Kalunjire Habba Souda Mengrell Mangrell
88,Chawli - Lobia,"• Contains vitamin B1, vitamin A - a vision-enhancing nutrient",• Essential for glucose metabolism in the body,"• It has a delicate, crazy aroma and a rich creamy flavor that is vaguely earthy",Dal & Pulses,Chavli_-_Lobhiya.jpg,88,100,1,1kg,12,Chavlie Lobhiya Rongi Lobiya Chevli Chavalie Chawalie
167,Dhania Whole,"• Dhawak Whole coriander seed for flavorful curries, salsas, dips and grains","• Coriander seeds hoard a number of minerals like calcium, iron, potassium, zinc, magnesium and copper",• Helpful in preserving food,Masalas & Spices,Dhaniya_Whole.jpg,50,60,0,250gm,10,Whole Coriander Seeds Dhaniya Seeds Cilantro Chinese Parsley Coriandrum sativum Dhawak Whole Coriander Seeds Sabut Dhaniya Dhana Sabut Dhaniya Dana Sabut Dhana
149,Everest Sambhar Masala,• It is a wonder recipe from the South India,• Made from selective spices,• It can be rightly described as an exclusive health food,Masalas & Spices,Everest_Sambhar_Masala.jpg,35,37,1,50gm,2,Everest Sambar Masala Evrest Sambhar Masala Evrest Sambar Masala Idli Sambhar Masala EverestMasalas Everest Masalas
6,Badam,• Massive Amount of Nutrients,• High in Vitamin E,• Almonds Are Loaded With Antioxidants,Dry Fruits,badam0802.jpg,330,380,0,500gm,50,Almond Prunus dulcis Badem Bedam Almand Almend Olmand Olmond
196,Upvas Namak,• Sendha Namak/Rock Salt/Vrat ka Namak,• Great for detoxing your body it helps lower blood pressure and is iron-rich,• Provide good relief from muscular and joint pains,Sugar & Salt,Upvas_Namak.jpg,40,60,1,1kg,20,Rock Salt Saindha Namak Sindhi Namank Saindha Salt Sindhi Salt Vrat ka Namak Sendha Namak Sendha Salt
107,Jeera,• Contains naturally occurring substances that work as antioxidants,"• Has anticancer properties, Fights bacteria and parasites",• No artificial colours and preservatives,Masalas & Spices,Jeera.jpg,32,36,0,100gm,4,Kumin Seeds Nigella Seeds Cumin Seeds Jera Jira Gera
101,Poha,• Rich in Healthy Carbohydrates,"• Source of Iron, Low in Calories, Regulates Blood Sugar",• The nourishment Poha provides is considered to be very beneficial to balance out body glucose levels,Atta & Flour,Poha.jpg,50,56,1,1kg,6,Flattened Rice Dry Flakes Beaten Rice Pooha Peva White Poha Atukulu  Pohe
19,Akhrot,• Rich in Antioxidants,• Supports Weight Control,• Super Plant Source of Omega-3s,Dry Fruits,akhrot0802.jpg,630,700,0,500gm,130,Walnut Mahogany Akrot Dry Brain Brain shape Akhrat Akrat
9,Kishmish,• Helps with hypertension,• Strengthens the bones,• Controls adverse insulin response,Dry Fruits,Kishmish.jpg.jpg,260,340,1,1Kg,80,Raisins Munakka Kismis Kishmis Kismish Rasins Manuka Menuka Manuka Resins
114,Methi,• It helps in boosting the immune system and ensure good health as well,"• Rich source of minerals, vitamins, and phytonutrients",• Helps Manage Diabetes and Obesity,Masalas & Spices,Methi.jpg,30,35,0,250gm,5,Dried Fenugreek seeds Whole Methi Dana Methi Seeds Mithi Seeds Fenigreek
159,Everest Jaljira Powder,• Jaljira is a favourite welcome drink and a natural choice after meals,"• A lively condiments and mix of spices that include dry ginger and mint leaf impart a strong, sizzling character when mixed through pure water","• Add 1‚½ tsp. Everest Jaljira Masala to 1 glass of water. Add a squeeze of lime and salt to taste. Garnish with Mint leaves, a slice of Fresh Lime or a few Salted Boondis. Serve chilled.",Masalas & Spices,Everest_Jaljira_Powder.jpg,30,32,1,50gm,2,Everest Jaljeera Masalas Evrest Jaljira Masalas Evrest Jaljeera Masalas Everest Jeera Masalas Everest Masalas Everest Jira Masalas
188,Sabudana,• Sabudana contains a good amount of potassium that helps to keep your BP in check,"• Sabudana khichdi, sabudana Pakoda or sabudana kheer  is a favourite breakfast and evening snack option in Indian households",• It is predominantly used in Indian cuisine for fasting related dishes,Dal & Pulses,0,36,42,0,500gm,6,Sabudana Barik  Sabudana Small  Sabudana Tapioca Pearl Tepioca Pearl Tapica Pearl Tepica Pearl Sago Saksak Rabia Sagu Saago Sego
73,Urad Whole,• Dals are a rich source of protein,• Free from impurities such as weevils and stones,• Urad Dal  is a power house of iron and calcium,Dal & Pulses,Urad_Whoal.jpg,96,110,1,1kg,14,Kala Urad Black Gram Kala Dal Urad Dal Ured Dal Urad Dal Whole Urad Dal
52,Moong Dal,"• It is rich in Vitamin A, B, C and E",• Healthy weight loss food as it is a low-fat food rich in proteins and fibre,"• It’s a quick healthy and hassle free, cleaned processed",Dal & Pulses,Moong_Dal.jpg,100,112,1,1kg,12,Yellow Moong Dal Maash Moong Mung Beans Monggo Munggo Mung Dal green gram Mug Dal
39,Silver Coin Atta,• Made from MP's Premium Wheat,• Keeps Roti softer and fresher for longer time,• Silver coin traditional chakki atta,Atta & Flour,Silver_Coin_Atta.jpg,200,265,1,5kg,64,Wheat Flour Gehu Atta Silver Atta Gehu ka atta Gehu Flour Silver Coin Flour Ata Wheat Atta Gehu Ata Wheat Ata
147,Everest Cumin Powder,"• Cumin seeds has a penetrating musty, earthy flavour. It's a cooling spice",• This type is much valued for its high percentage of essential oil content that gives it an intense flavour,"• Sourced from the well drained, loamy regions of Gujarat and Rajasthan",Masalas & Spices,Everest_Cumin_Powder.jpg,35,37,1,50gm,2,Everest Jeera Powder Everest Jera Powder Everest Cumin Masala Everest Jeere Masala Everest Jera Powder EverestMasalas Everest Masalas
2,Kaju,• Heart-healthy fats,• Low in sugar and rich in fiber,"• Good source of copper, magnesium, and manganese",Dry Fruits,kaju0802.jpg,370,420,0,500gm,50,Cashew Cashewnoot Kaaju White Kaju
150,Everest Sabji Masala,• Give your sabjis a different taste with the Everest Sabji Masala,"• Imparts a rich colour and colour, It ranks high in nutrition and taste",• It gives vegetable dishes a gently resonant flavour and the appetizing colour so attribute of vegetarian fare,Masalas & Spices,Everest_Sabji_Masala.jpg,32,34,1,50gm,2,Everest Sabzi Masala Evrest Sabji Masala Everest vegetable Masala Sabji Powder EverestMasalas Everest Masalas
66,Chana,• Kala Chana is a super source of protein,• Cuts Down Cholesterol Levels,• A powerhouse of energy and vigour,Dal & Pulses,Chana.jpg,17,21,0,250gm,4,Desi Chana Roasted Chana Chickpea Kala Chana Green Chick Peas Bengal Gram Garbanzo Garbanzo Bean Egyptian Pea Black chana
5,Badam,• Massive Amount of Nutrients,• High in Vitamin E,• Almonds Are Loaded With Antioxidants,Dry Fruits,badam0802.jpg,660,760,1,1Kg,100,Almond Prunus dulcis Badem Bedam Almand Almend Olmand Olmond
40,Toor Dal,• No impurities and processed naturally,• Main source of protein,"• Helps to preventing problem like constipation, reduced risk of chronic diseases",Dal & Pulses,Toor_Dal.jpg,116,120,1,1kg,4,Shambar Dal Arad Dal Shambhar Dal Arhar Dal Tur Dal Toor Dal Arhar Dal Tur Dal Pigeon Pea
200,Kala Namak,"• Superior quality product, Higher concentration of Minerals",• Popularly used as a flavour enhancer,"• Black Salt Powder is generally used for deep-fried snacks, chaat and flavoursome salads",Sugar & Salt,0,20,30,0,500gm,10,Himalayan Black Salt Sulemani namak bire noon bit lobon kala loon pada loon kala Salt Black Namak Black
134,Laung,"• Fine export quality, intense aroma and flavour an essential part to Indian cusine",• Cloves large size with strong flavour,• It may help reduce inflammation in the body and protect heart and liver health,Masalas & Spices,Lavang.jpg,100,120,1,100gm,20,Cloves Long Lavang Lavinga Loving Lavankapattai Lang Claves Clovs
94,Sooji - Rawa,"• Instant Energy, Increases Iron","• Supports Nervous System, Heart Health, Promotes Weight Loss",• Pure and natural product,Atta & Flour,Sujji_-_Rava.jpg,40,50,1,1kg,10,Sujji Suji Rava Semolina Granulated Wheat
141,Everest Dhaniya Powder,"• Garden fresh, Hygienically crushed and powdered, Scientifically packed",• Provides punch to Indian cuisine,• Made from the finest coriander seeds,Masalas & Spices,Everest_Dhaniya_Powder.jpg,40,42,1,100gm,2,Everest Coriander Powder Everest Dhana Powder Everest Dhana Powder Everest Koriander Powder Evrest Dhaniya Powder Evrest Coriander Powder EverestMasalas Everest Masalas
144,Everest Garam Masala,• Rich aromatic blend of spices,"• This exotic mix of spice can be used to prepare delicious dishes made out meat, vegetables and dals or even used as a seasoning on curries, yogurts and raitas","• It improves immunity, helps in reducing weight, good source of vitamins and minerals, helps maintain cholesterol, Restores health of the heart, Prevents diabe",Masalas & Spices,Everest_Garam_Masala.jpg,44,46,1,50gm,2,Evrest Garam Masala Everest Garam Powder Everest Hot Masala Special Masala EverestMasalas Everest Masalas
102,Poha,• Rich in Healthy Carbohydrates,"• Source of Iron, Low in Calories, Regulates Blood Sugar",• The nourishment Poha provides is considered to be very beneficial to balance out body glucose levels,Atta & Flour,Poha.jpg,25,28,0,500gm,3,Flattened Rice Dry Flakes Beaten Rice Pooha Peva White Poha Atukulu  Pohe
132,Kali Miri,• It aids in digestion and helps in weight loss by improving the metabolism of the body,• Kalimirch is beneficial for cough and respiratory problems due to its antitussive,• There are no added preservatives and no artificial colors,Masalas & Spices,Kala_Miri.jpg,170,188,0,250gm,18,Piper nigrum Kali Mirch Kala Miri Black Pepper Black Peppercorns Kali Mirchi Kala Pepper Pepercorns Black Peper Black Paper Black Peppricorns  Pepricorns
232,Khopra Katta,• Dry Copra/Coconut is rich in dietary fibre and it helps in having a healthy heart,"• It improves brain function, boosts the immune system, reduces anaemia and the risk of cancer",• Dry coconut whole (Gola) is a good dry fruits for health,Dal & Pulses,Khopra_Katta.jpg,240,260,1,1kg,20,Copra Dry Coconut Kopra Gota Gotta Dry Coconut Halves Nariyal Narel Copra Kopra Dry Nariyal Coconut Kuridi Kobbari Sabut Gola Coconut Sabut Gota
201,Kala Namak,"• Superior quality product, Higher concentration of Minerals",• Popularly used as a flavour enhancer,"• Black Salt Powder is generally used for deep-fried snacks, chaat and flavoursome salads",Sugar & Salt,0,10,15,0,250gm,5,Himalayan Black Salt Sulemani namak bire noon bit lobon kala loon pada loon kala Salt Black Namak Black
116,Badi Saunf,• Helps prevent acne and keeps your skin healthy,• Can help you lose weight,• Helps regulate blood pressure,Masalas & Spices,Badi_Soap.jpg,240,300,1,1kg,60,Fennel Badi Sof Big Sof Fennel Seeds Badi Sop Big Sop Badi Soap Badi Sauf Large Saunf Large Souf
142,Everest Chilli Powder,• It is used to add heat or spice to dishes,• Gives Reddish colour,• Made from finest chilly to give best taste,Masalas & Spices,Everest_Mirchi_Powder.jpg,58,62,1,100gm,4,"Everest Mirchi Powde| Everest Chili Powder Everest Kashmirilal Everest Kashmirilal Chilli Powder Mirchi Powder,Chilly Powde Karama pudi Khara Pud, kara Pudi Mirch Pudh,melegaay thul EverestMasalas Everest Masalas"
92,Besan,• Rich in vitamins and minerals,• Packed with fiber,• It has a nutty flavor and provides a rich supply of protein,Atta & Flour,Basan.jpg,40,50,0,500gm,10,Chane ka Atta Chana Atta Gram Flour Gram Flour Garbanzo Bean Flour Basan Beson Bason Beson Besan Flour
83,Green Mutter,• They're Filling and an Excellent Source of Protein,• Support Healthy Blood Sugar Control,"• Good source of iron, minerals, and Vitamins and fairly low in calories",Dal & Pulses,Green_Mutter.jpg,38,50,0,500gm,12,Green Peas Green Vatana Dried Green Peas Hirve Vatana Dried Peas Hara Vatana Green Muter Green Mater
