id,product_name,desc1,desc2,desc3,categories,product_image,discount_price,actual_price,subcategories,quantity_desc,save_rs,hidden
202,Bombino Savaiya,"• It is used to make verity of dishes, like creamy, sweet kheer, savory upma",•  Made of rough wheat,• Tasty and healthy,Atta & Flour,Bobino_Savaiya.jpg,19,20,1,200gm,1,Vermicelli Savaiya Semiya Bobino Savaiya Sevai Semoi Sewai Sevian Bambino Namkeen Seviyan Vermicelli Roasted Pantry Bobino Sevai Bobino Sevaiya Bobino Sevaiya Dry Sev
178,Color Nalli,• A crispy delight especially for kids,• These fryums are checked for their freshness on series of quality parameters before being supplied,• These fryums are precisely processed using supreme grade ingredients with the help of modular processing techniques in compliance with set food industry norms,Pasta & Fries,Color_Nalli.jpg,60,120,1,1kg,60,Color Fryums Organic Fryums Ring Size Colorful Fryums Colour Nalli Colour Fryums Colorful Finger Color Finger Colourful Finger Colour Finger Gold Finger Snacks
199,Kala Namak,"• Superior quality product, Higher concentration of Minerals",• Popularly used as a flavour enhancer,"• Black Salt Powder is generally used for deep-fried snacks, chaat and flavoursome salads",Sugar & Salt,Kala_Namak.jpg,40,60,1,1kg,20,Himalayan Black Salt Sulemani namak bire noon bit lobon kala loon pada loon kala Salt Black Namak Black
206,Mishri,• Used in various ayurvedic medicines and proved to be effective against cough,• It also loosens up mucus and provides quick relief,• It is an immense source of energy and has the necessary minerals with no harsh chemicals or additives,Sugar & Salt,Mishri.jpg,18,25,0,250gm,7,Rock Sugar Misri Dana Mishri Dana Candy Sugar Diamond Mishri Diamond Misri
126,Ajwain,"• Ajwain possess carminative, antimicrobial and liver protective properties","• Remedy for gastrointestinal problems like indigestion, flatulence and colic pain",• Instant Relief from Acidity and Indigestion,Masalas & Spices,Ajvine.jpg,65,90,0,250gm,25,Ajowan Trachyspermum Ammi Ajvine Ajowan Caraway Thymol Seeds Bishop's Weed Carom Seeds Ajjvain Ajvan
98,Maida,• Contains high amounts of many nutrients,"• Has  fibre, vitamins, iron, magnesium, phosphorus, manganese and selenium",• Made without any preservatives or artificial colouring,Atta & Flour,Maida.jpg,40,48,1,1kg,8,Refined flour Simply flour Meda Meida Refined Wheat Flour
119,Badi Saunf,• Helps prevent acne and keeps your skin healthy,• Can help you lose weight,• Helps regulate blood pressure,Masalas & Spices,Badi_Soap.jpg,24,30,0,100gm,6,Fennel Badi Sof Big Sof Fennel Seeds Badi Sop Big Sop Badi Soap Badi Sauf Large Saunf Large Souf
241,Barik Rai,• Smaller than normal Rai size,• Rai is also known for its high anti-inflammatory effects,"• Mustard Seeds are the efficient herbal product, are widely used In Indian household for the cooking purposes",Masalas & Spices,Barik_Rai.jpg,30,35,1,250gm,5,Small Mustard seeds Small Black Sarson Small Black Mustard Avalu Rai Baarik Black Rai Black Baarik Rai Avalu Rai Barik Black Rai Black Barik Rai
112,Methi,• It helps in boosting the immune system and ensure good health as well,"• Rich source of minerals, vitamins, and phytonutrients",• Helps Manage Diabetes and Obesity,Masalas & Spices,Methi.jpg,120,140,1,1kg,20,Dried Fenugreek seeds Whole Methi Dana Methi Seeds Mithi Seeds Fenigreek
82,Green Mutter,• They're Filling and an Excellent Source of Protein,• Support Healthy Blood Sugar Control,"• Good source of iron, minerals, and Vitamins and fairly low in calories",Dal & Pulses,Green_Mutter.jpg,76,100,1,1kg,24,Green Peas Green Vatana Dried Green Peas Hirve Vatana Dried Peas Hara Vatana Green Muter Green Mater
122,Yellow Mustard,• They provide a healthy boost of vitamins and minerals,• They are low in calories and high in nutrition,• Add to pickling brines and preserving spices,Masalas & Spices,yellowmuster.jpg,35,45,0,250gm,10,Pila Sarsoo Yellow Sarso American mustard seeds Pila Rai Yellow Muster Seeds
61,Kabuli Chana,• Dals are a rich source of protein,• Hygienically packed kabuli chana which is free from impurities such as weevils and stones,• It can fulfil the nutritional and dietary requirements of an entire meal,Dal & Pulses,Kabuli_Chana.jpg,140,144,1,1kg,4,White Chhole Chana Chole Chana  White Chana Chick Peas
32,Asirvad Atta MP,"• The dough made from AASHIRVAAD Atta absorbs more water, which result in soft and tasty rotis",• Rich source of nutrients,"• Gives you the wholesome goodness of six different grains – wheat, soya, channa, oat, maize and psyllium husk",Atta & Flour,aasirvaad-atta.jpg,250,280,0,5kg,30,• Wheat Flour Gehu Atta Wheat Atta Gehu Flour Gehu Floor Wheat Floor Gehu ka atta
211,Bada Mishri,• Used in various ayurvedic medicines and proved to be effective against cough,• It also loosens up mucus and provides quick relief,• It is an immense source of energy and has the necessary minerals with no harsh chemicals or additives,Sugar & Salt,Bada_Mishri.jpg,40,50,0,500gm,10,Rock Sugar Misri Candy Sugar Dhaga Mishri Dhaga Misri Whole Mishri Whole Misri
113,Methi,• It helps in boosting the immune system and ensure good health as well,"• Rich source of minerals, vitamins, and phytonutrients",• Helps Manage Diabetes and Obesity,Masalas & Spices,Methi.jpg,60,70,0,500gm,10,Dried Fenugreek seeds Whole Methi Dana Methi Seeds Mithi Seeds Fenigreek
231,Chatni Dal,• It can fulfil the nutritional and dietary requirements of an entire meal,"• No added chemicals, polish or colours",• Serves as a great source of vitamins and B-complex,Atta & Flour,0,25,30,0,250gm,5,Roasted Chana Dal Bengal Gram Split Chickpeas Roasted Daria Daria Dal Roasted Split gram Phutana Pappulu Puttanalu pappulu Daliya Dal
106,Jeera,• Contains naturally occurring substances that work as antioxidants,"• Has anticancer properties, Fights bacteria and parasites",• No artificial colours and preservatives,Masalas & Spices,Jeera.jpg,80,90,0,250gm,10,Kumin Seeds Nigella Seeds Cumin Seeds Jera Jira Gera
118,Badi Saunf,• Helps prevent acne and keeps your skin healthy,• Can help you lose weight,• Helps regulate blood pressure,Masalas & Spices,Badi_Soap.jpg,60,75,0,250gm,15,Fennel Badi Sof Big Sof Fennel Seeds Badi Sop Big Sop Badi Soap Badi Sauf Large Saunf Large Souf
56,Moong Dal Chilka,"• It is rich in Vitamin A, B, C and E",• Healthy weight loss food as it is a low-fat food rich in proteins and fibre,"• It tastes delicious, especially when cooked with Indian spices.",Dal & Pulses,Moong_Dal_Chilka.jpg,48,58,0,500gm,10,Green Moong Dal Maash Moong dal Mung Bean Monggo Munggo split green gram spilit fotra wali mag ni dal mag dal chilka dal Green Moong Dal Split
21,Kharik,• Good source of fibre,• Enhance the absorption of foods,• Rich in polyphenols,Dry Fruits,kharik0802.jpg,340,400,1,1kg,60,Sugar date palm Dry dates Chovara Karik Dry Detes
45,Chana Dal,• Free from impurities,• Consistent quality of grains,• Chana dal is high in fiber and help to lower cholesterol,Dal & Pulses,Chana_Dal.jpg,18,20,0,250gm,2,Garam Dal Chana Dal Split Chana Dal Split Bengal Gram Yellow Dal Yelow Dal Chickpea Dal baby chickpeas
158,Everest Tandoori Chicken Masala,• It is a wholesome blend of exotic aromatic spices,"• In most non-veg., marinate-and-cook-over-the-fire preparations such as chicken, fish etc",• Made from a blend of aromatic spices,Masalas & Spices,Everest_Tandoori_Chicken_Masala.jpg,41,43,1,50gm,2,Everest Tandoori Masalas Everest Chicken Masalas Evrest Tandoori Chicken Masalas Everest Tanduri Masalas Everest Masalas Everest Tanduri Chicken Masalas
75,Urad Whole,• Dals are a rich source of protein,• Free from impurities such as weevils and stones,• Urad Dal  is a power house of iron and calcium,Dal & Pulses,Urad_Whoal.jpg,24,28,0,250gm,4,Kala Urad Black Gram Kala Dal Urad Dal Ured Dal Urad Dal Whole Urad Dal
193,Jaggery,• Jaggery is dried sugarcane juice and contains essential mineral,"• It is processed without the use of chemicals and retains many vital vitamins and minerals, such as calcium, phosphorus, magnesium, and potassium",• It can be used to increase iron in the blood,Dal & Pulses,Gud_(Jaggery).jpg,34,40,1,500gm,6,Gud Gur non-centrifugal sugar Panela treacle Jagery Jagary Jaggeri jageri jagari Guud Good
249,Bhuna Chana,• One such healthy snack that can easily be added in your weight loss diet i,• They also offer a multitude of nutrients that support just as many aspects of human health,• Chana contains a lot of protein. Eating chana everyday ensures that you get your daily quota of protein,Atta & Flour,Bhuna_Chana.jpg,100,140,1,1kg,40,Dry Roasted Chana Dal Chana Roasted Black Gram Roasted Chickbeans Roasted Bengal Gram
148,Everest Kitchen King Masala,• Enhances the taste of vegetable and paneer dishes,• Rich in taste and aroma,• Imparts a rich colour and texture,Masalas & Spices,Everest_Kitchen_King_Masala.jpg,40,42,1,50gm,2,Evrest Kitchen King Masala Everest Kitchen Masala Everest Kichen King Masala Everest Kichen Masala EverestMasalas Everest Masalas
80,Rajma Red,• Regulates Blood Sugar,"• Heart Healthy, Prevents Cancer, Sustains Weight Loss, Strengthens Bones","• Rich in anti-oxidants, strengthens the immune system, high on proteins",Dal & Pulses,Rajma_Red.jpg,60,68,0,500gm,8,Kashmiri Rajma Red Kidney Bean Common Kidney Bean Surkh Lobia Lal Rajma Red Rajma
157,Everest Meat Masala,• Everest Meat Masala is one such masala to arrange the delectable tasty meat,• A pepper-coriander-chilli based combine that imparts a dark tan and a hot taste to non-veg dishes,"• Since Indians loves their meat actually spiced up, a fair amount of flavoring spices lend this merge a sweet-smelling chorus",Masalas & Spices,Everest_Meat_Masala.jpg,41,43,1,50gm,2,Everest Meet Masalas Evrest Meat Masalas Evrest Meet Masalas Everest Mutton Masalas Everest Masalas Everest Matan Masala
108,Rai,• This is 100 % Natural,• Rai is also known for its high anti-inflammatory effects,"• Relieves muscle pain, Skin and hair care",Masalas & Spices,Rai.jpg,120,140,1,1kg,20,Mustard seeds Mastard Seeds Black Sarson Black Mustard Black Mastard Black Sarsoon
244,Cooking Soda,• For a soft and fluffy texture,• It is also used as a tenderiser and to quicken the pressure cooking process,• Offers a delectable taste to all types of baked goods,Masalas & Spices,Cooking_Soda.jpg,10,15,1,100gm,5,Baking Soda Sodium Bicarbonate Soda Bicarb Yeast Powder
203,Roasted Seviyan,• Delicious Roasted Sevaiya Kheer is the Perfect Dessert and Sweets for any Occasion,• It is added with multiple health benefits and you can enjoy delicious lip-smacking dishes without compromising on your health,"• It can be used to prepare various recipes like namkeen seviyan, kheer, faluda & many more",Atta & Flour,Roasted_Savaiya.jpg,20,25,1,150gm,5,Roasted vermicelli Long Roasted Savaiya Long Roasted Semiya Bhuna Saviya Long Seviyan Long Semiya Sevai Semoi Sewai Sevian Sekeli Sevaiya Sekeli Seviya Roasted Seeviya
100,Maida,• Contains high amounts of many nutrients,"• Has  fibre, vitamins, iron, magnesium, phosphorus, manganese and selenium",• Made without any preservatives or artificial colouring,Atta & Flour,Maida.jpg,10,12,0,250gm,2,Refined flour Simply flour Meda Meida Refined Wheat Flour
184,Singdana,• Singdana are a great source of essential nutrients,• Consume it daily to enjoy its health benefits,• It is great for snacking while on the go or can also be added in desserts and cakes or even mixed with other nuts which makes a tasty treat,Dal & Pulses,Singdana.jpg,124,134,1,1kg,10,Peanuts Groundnut Earthnut Goober Fabaceae Arachis hypogaea Sing Dana Shingdana Penat Penut Edible Seeds
76,Rajma White,• Regulates Blood Sugar,"• Heart Healthy, Prevents Cancer, Sustains Weight Loss, Strengthens Bones",• No Added Colours. No Preservatives. No artificial flavours,Dal & Pulses,Rajma_White.jpg,144,152,1,1kg,8,Chitra Rajma White Kidney Beans White Rajma Safed Rajma Safed
85,White Mutter,• They're Filling and an Excellent Source of Protein,• Support Healthy Blood Sugar Control,• Sortex cleaned and superior quality,Dal & Pulses,White_Mutter.jpg,76,100,1,1kg,24,White Peas White Vatana Dried White Peas Safed Vatane Dried Peas Safed Vatana White Muter GUNJA SAFED SEEDS CHIRMATI SAFED BEEJ
138,Badi Elaichi,"• Black cardamom is full of the antioxidants, vitamin C and the essential mineral potassium",• It is commonly used as a flavouring spice for many Indian dishes,• It helps to remove excess mucus from the respiratory passages and provides relief,Masalas & Spices,Badi_Eliche.jpg,50,60,1,50gm,10,Kala Eliche Black cardamom Badi Eliche Badi Elaichi Moti Elaichi Froods Cardamom Black Whole Elaichi Sabut Elaichi
154,Everest Tea Masala,"• It has a pepper and ginger blend, giving the regular tea, a completely different touch",• Everest masala tea is made for tea lovers who love to smell the aroma of spices in their cup,• Enhances the taste of tea,Masalas & Spices,Everest_Tea_Masala.jpg,53,57,1,50gm,4,Everest Chay Masala Evrest Tea Masala Evrest Chai Masala Everest T Masala Everest Masalas Everest Chai Masala
221,Rice Steam Colom 3,• High on fiber: Good for digestion,• Zero cholesterol: Good for your heart and cardio vascular functioning,0,Rice & Wheat,Rice_Steam_Colom_3.jpg,1200,1300,1,25kg,100,0
81,Rajma Red,• Regulates Blood Sugar,"• Heart Healthy, Prevents Cancer, Sustains Weight Loss, Strengthens Bones","• Rich in anti-oxidants, strengthens the immune system, high on proteins",Dal & Pulses,Rajma_Red.jpg,30,35,0,250gm,5,Kashmiri Rajma Red Kidney Bean Common Kidney Bean Surkh Lobia Lal Rajma Red Rajma
125,Ajwain,"• Ajwain possess carminative, antimicrobial and liver protective properties","• Remedy for gastrointestinal problems like indigestion, flatulence and colic pain",• Instant Relief from Acidity and Indigestion,Masalas & Spices,Ajvine.jpg,130,180,0,500gm,50,Ajowan Trachyspermum Ammi Ajvine Ajowan Caraway Thymol Seeds Bishop's Weed Carom Seeds Ajjvain Ajvan
217,Rice Steam Colom 1,• High on fiber: Good for digestion,• Zero cholesterol: Good for your heart and cardio vascular functioning,0,Rice & Wheat,Rice_Steam_Colom_1.jpg,1500,1600,1,25kg,100,0
78,Rajma White,• Regulates Blood Sugar,"• Heart Healthy, Prevents Cancer, Sustains Weight Loss, Strengthens Bones",• No Added Colours. No Preservatives. No artificial flavours,Dal & Pulses,Rajma_White.jpg,36,38,0,250gm,2,Chitra Rajma White Kidney Beans White Rajma Safed Rajma Safed
72,Urad Chilka,• Rich in flavour and antioxidants,• Urad Dal Chilka helps to maintain blood sugar,• Dals are a rich source of protein,Dal & Pulses,Urad_Chilka.jpg,24,28,0,250gm,4,Kala Dal Urad Split Black Urad Split Black Dal Urad Dal Chilka Urad Spilit Dal Urad Split Dal Orad dal
111,Rai,• This is 100 % Natural,• Rai is also known for its high anti-inflammatory effects,"• Relieves muscle pain, Skin and hair care",Masalas & Spices,Rai.jpg,12,14,0,100gm,2,Mustard seeds Mastard Seeds Black Sarson Black Mustard Black Mastard Black Sarsoon
90,Chawli - Lobia,"• Contains vitamin B1, vitamin A - a vision-enhancing nutrient",• Essential for glucose metabolism in the body,"• It has a delicate, crazy aroma and a rich creamy flavor that is vaguely earthy",Dal & Pulses,Chavli_-_Lobhiya.jpg,22,25,0,250gm,3,Chavlie Lobhiya Rongi Lobiya Chevli Chavalie Chawalie
194,Sugar,"• Refined, sparkling white and easy to dissolve sugar crystals",• Made from superior quality Sugarcane,• It is free from harmful chemicals like sulphur,Sugar & Salt,Sugar.jpg,40,44,1,1kg,4,Table sugar granulated sugar regular sugar Simple sugars monosaccharides Sacker Saker sekar Sackar Sakar
86,White Mutter,• They're Filling and an Excellent Source of Protein,• Support Healthy Blood Sugar Control,• Sortex cleaned and superior quality,Dal & Pulses,White_Mutter.jpg,38,50,0,500gm,12,White Peas White Vatana Dried White Peas Safed Vatane Dried Peas Safed Vatana White Muter GUNJA SAFED SEEDS CHIRMATI SAFED BEEJ
121,Yellow Mustard,• They provide a healthy boost of vitamins and minerals,• They are low in calories and high in nutrition,• Add to pickling brines and preserving spices,Masalas & Spices,yellowmuster.jpg,70,90,0,500gm,20,Pila Sarsoo Yellow Sarso American mustard seeds Pila Rai Yellow Muster Seeds
95,Sooji - Rawa,"• Instant Energy, Increases Iron","• Supports Nervous System, Heart Health, Promotes Weight Loss",• Pure and natural product,Atta & Flour,Sujji_-_Rava.jpg,20,25,0,500gm,5,Sujji Suji Rava Semolina Granulated Wheat
131,Kali Miri,• It aids in digestion and helps in weight loss by improving the metabolism of the body,• Kalimirch is beneficial for cough and respiratory problems due to its antitussive,• There are no added preservatives and no artificial colors,Masalas & Spices,Kala_Miri.jpg,340,375,0,500gm,35,Piper nigrum Kali Mirch Kala Miri Black Pepper Black Peppercorns Kali Mirchi Kala Pepper Pepercorns Black Peper Black Paper Black Peppricorns  Pepricorns
209,Prasad,• Used For Prasad at Home or in Ceremonies,• Mainly used while worshipping.,• No Chemicals / Preservatives,Sugar & Salt,Prasad.jpg,18,25,0,250gm,7,Sweet Balls Prasad Dana Sweet Sugar Coated Peanuts Sweet Makhana Dana Sweet Makhana Dana Sugar Makhana Dana SWEET BALLS SUGAR BALLS sugar balls prasad puja white
13,Pista (Salted),• Salted,"• High in antioxidants , Low in calories",• Low in calories yet high in protein,Dry Fruits,Pista_(Salted).jpg,550,600,0,500gm,50,Pistachios Green almonds Salted Pista Namak vala pista Pista Salted Pistachious Pistachoes
74,Urad Whole,• Dals are a rich source of protein,• Free from impurities such as weevils and stones,• Urad Dal  is a power house of iron and calcium,Dal & Pulses,Urad_Whoal.jpg,48,55,0,500gm,7,Kala Urad Black Gram Kala Dal Urad Dal Ured Dal Urad Dal Whole Urad Dal
120,Yellow Mustard,• They provide a healthy boost of vitamins and minerals,• They are low in calories and high in nutrition,• Add to pickling brines and preserving spices,Masalas & Spices,yellowmuster.jpg,140,180,1,1kg,40,Pila Sarsoo Yellow Sarso American mustard seeds Pila Rai Yellow Muster Seeds
213,Rice Eagle,• 100% Sortexed parboiled rice,• Long grain rice,• Eagle Brand Rice | Egal Rice | Rice Egal | Eagle Rice,Rice & Wheat,Rice_Eagle.jpg,1400,1500,1,25kg,100,C
48,Masoor Dal,"• Full of vitamins, minerals",• Contains essential oils and enzymes,• Including Masoor Dal in your daily meals comes with a host of benefits,Dal & Pulses,Masoor_Dal.jpg,24,29,0,250gm,5,Red Lentil Masur Dall Split Masoor Dal Split Spilit Masur Dal
171,Mackroni Elbow,• Crafted from the finest Durum semolina and turned into mouthwatering and nutritious meals,• It is low in cholesterol and high in fibre,• It is also enriched with Vitamin A and Calcium that improves your body health,Pasta & Fries,0,15,30,0,250gm,15,Gomito Pasta Mackroni Elbow Mekaroni Elbow Pasta Elbow Mackroni Durum Wheat Pasta Lbo Pasta Lbo Makroni Elbow Makroni
169,Macaroni Elbow,• Crafted from the finest Durum semolina and turned into mouthwatering and nutritious meals,• It is low in cholesterol and high in fibre,• It is also enriched with Vitamin A and Calcium that improves your body health,Pasta & Fries,Mackroni_Elbow.jpg,60,120,1,1kg,60,Gomito Pasta Mackroni Elbow Mekaroni Elbow Pasta Elbow Mackroni Durum Wheat Pasta Lbo Pasta Lbo Makroni Elbow Makroni
170,Mackroni Elbow,• Crafted from the finest Durum semolina and turned into mouthwatering and nutritious meals,• It is low in cholesterol and high in fibre,• It is also enriched with Vitamin A and Calcium that improves your body health,Pasta & Fries,0,30,60,0,500gm,30,Gomito Pasta Mackroni Elbow Mekaroni Elbow Pasta Elbow Mackroni Durum Wheat Pasta Lbo Pasta Lbo Makroni Elbow Makroni
59,Moong Whole,"• It is rich in Vitamin A, B, C and E",• Healthy weight loss food as it is a low-fat food rich in proteins and fibre,• It is lighter and easier to digest,Dal & Pulses,Moong_Whoal.jpg,48,58,0,500gm,10,Green Gram  Maash Moong Mung Bean Monggo Munggo full mung dalgreen gram golden gram green soy
43,Chana Dal,• Free from impurities,• Consistent quality of grains,• Chana dal is high in fiber and help to lower cholesterol,Dal & Pulses,Chana_Dal.jpg,70,80,1,1kg,10,Garam Dal Chana Dal Split Chana Dal Split Bengal Gram Yellow Dal Yelow Dal Chickpea Dal baby chickpeas
145,Everest Chicken Masala,"• A perfect blend of pure spices, No added preservatives",• Enhances the taste of your dish,• Perfect for making chicken gravy,Masalas & Spices,Everest_Chicken_Masala.jpg,41,43,1,50gm,2,Everest Chickan Masala Evrest Chicken Masala Everest Chicken Powder EverestMasalas Everest Masalas
229,Chatni Dal,• It can fulfil the nutritional and dietary requirements of an entire meal,"• No added chemicals, polish or colours",• Serves as a great source of vitamins and B-complex,Atta & Flour,Chatni_Dal.jpg,100,120,1,1kg,20,Roasted Chana Dal Bengal Gram Split Chickpeas Roasted Daria Daria Dal Roasted Split gram Phutana Pappulu Puttanalu pappulu Daliya Dal
204,Mishri,• Used in various ayurvedic medicines and proved to be effective against cough,• It also loosens up mucus and provides quick relief,• It is an immense source of energy and has the necessary minerals with no harsh chemicals or additives,Sugar & Salt,Mishri.jpg,72,100,1,1kg,28,Rock Sugar Misri Dana Mishri Dana Candy Sugar Diamond Mishri Diamond Misri
243,Ajino Moto,"• Ajinomoto is essentially used as a taste enhancer and is said to impart a sixth sense, described as savoury, in addition to the five basic tastes like sweet, spicy, bitter, sour and salty",• When added to food it enhances the natural taste present in the food by bringing about a natural ripening process that brings out its full flavour,"• It can be used for any type of cuisine, be it Chinese, Indian, Continental etc.",Masalas & Spices,Ajino_Moto.jpg,15,20,1,50gm,5,AjinoMoto Monosodium glutamate Aginomot Agino moto
110,Rai,• This is 100 % Natural,• Rai is also known for its high anti-inflammatory effects,"• Relieves muscle pain, Skin and hair care",Masalas & Spices,Rai.jpg,30,35,0,250gm,5,Mustard seeds Mastard Seeds Black Sarson Black Mustard Black Mastard Black Sarsoon
123,Yellow Mustard,• They provide a healthy boost of vitamins and minerals,• They are low in calories and high in nutrition,• Add to pickling brines and preserving spices,Masalas & Spices,yellowmuster.jpg,14,18,0,100gm,4,Pila Sarsoo Yellow Sarso American mustard seeds Pila Rai Yellow Muster Seeds
14,Pista (Salted),• Salted,"• High in antioxidants , Low in calories",• Low in calories yet high in protein,Dry Fruits,Pista_(Salted).jpg,275,300,0,250gm,25,Pistachios Green almonds Salted Pista Namak vala pista Pista Salted Pistachious Pistachoes
219,Rice Steam Colom 2,• High on fiber: Good for digestion,• Zero cholesterol: Good for your heart and cardio vascular functioning,0,Rice & Wheat,Rice_Steam_Colom_2.jpg,1325,1400,1,25kg,75,0
216,Rice 5 Star,"• Medium-grained, export quality rice from Swarno Dhan",• Healthy rice at affordable price,0,Rice & Wheat,0,56,60,0,1kg,4,0
27,Patanjali Ghee,• Increases memory,• Increases the power of digestion,• Keeps you healthy as well has a delicious taste and rich aroma,Ghee Oil,patanjali-ghee.jpg,125,130,0,200ml,5,Pure quality Pure Ghee Pure Ghi Desi Ghee Patenjali Ghee Patanjali Ghi Patenjali Ghi
117,Badi Saunf,• Helps prevent acne and keeps your skin healthy,• Can help you lose weight,• Helps regulate blood pressure,Masalas & Spices,Badi_Soap.jpg,120,150,0,500gm,30,Fennel Badi Sof Big Sof Fennel Seeds Badi Sop Big Sop Badi Soap Badi Sauf Large Saunf Large Souf
1,Kaju,• Heart-healthy fats,• Low in sugar and rich in fiber,"• Good source of copper, magnesium, and manganese",Dry Fruits,kaju0802.jpg,740,840,1,1Kg,100,Cashew Cashewnoot Kaaju White Kaju
54,Moong Dal,"• It is rich in Vitamin A, B, C and E",• Healthy weight loss food as it is a low-fat food rich in proteins and fibre,"• It’s a quick healthy and hassle free, cleaned processed",Dal & Pulses,Moong_Dal.jpg,25,30,0,250gm,5,Yellow Moong Dal Maash Moong Mung Beans Monggo Munggo Mung Dal green gram Mug Dal
218,Rice Steam Colom 1,• High on fiber: Good for digestion,• Zero cholesterol: Good for your heart and cardio vascular functioning,0,Rice & Wheat,Rice_Steam_Colom_1.jpg,60,64,0,1kg,4,0
11,Kishmish,• Helps with hypertension,• Strengthens the bones,• Controls adverse insulin response,Dry Fruits,Kishmish.jpg.jpg,65,85,0,250gm,20,Raisins Munakka Kismis Kishmis Kismish Rasins Manuka Menuka Manuka Resins
135,Laung,"• Fine export quality, intense aroma and flavour an essential part to Indian cusine",• Cloves large size with strong flavour,• It may help reduce inflammation in the body and protect heart and liver health,Masalas & Spices,Lavang.jpg,50,60,0,50gm,10,Cloves Long Lavang Lavinga Loving Lavankapattai Lang Claves Clovs
17,Anjeer,• Sustains Weight Loss,• Regulates Blood Pressure,• Stronger Bones,Dry Fruits,anjeer.jpg,275,300,0,250gm,25,Small Pear Anjir Anjiir Angir Angeer Anger Anjer
173,Screw Pasta,"• It is packed and loaded with a variety of essential nutrients making your pasta wholesome, healthy and nutritious",• Has the taste and flavor of great pasta,• Enriched with protein and fiber makes it a healthy choice,Pasta & Fries,0,30,60,0,500gm,30,Spirali Pasta Fusilli Pasta Spiral Pasta Organic Pasta Skrew Pasta
71,Urad Chilka,• Rich in flavour and antioxidants,• Urad Dal Chilka helps to maintain blood sugar,• Dals are a rich source of protein,Dal & Pulses,Urad_Chilka.jpg,48,56,0,500gm,8,Kala Dal Urad Split Black Urad Split Black Dal Urad Dal Chilka Urad Spilit Dal Urad Split Dal Orad dal
105,Jeera,• Contains naturally occurring substances that work as antioxidants,"• Has anticancer properties, Fights bacteria and parasites",• No artificial colours and preservatives,Masalas & Spices,Jeera.jpg,160,180,0,500gm,20,Kumin Seeds Nigella Seeds Cumin Seeds Jera Jira Gera
174,Screw Pasta,"• It is packed and loaded with a variety of essential nutrients making your pasta wholesome, healthy and nutritious",• Has the taste and flavor of great pasta,• Enriched with protein and fiber makes it a healthy choice,Pasta & Fries,0,15,30,0,250gm,15,Spirali Pasta Fusilli Pasta Spiral Pasta Organic Pasta Skrew Pasta
42,Toor Dal,• No impurities and processed naturally,• Main source of protein,"• Helps to preventing problem like constipation, reduced risk of chronic diseases",Dal & Pulses,Toor_Dal.jpg,29,30,0,250gm,1,Shambar Dal Arad Dal Shambhar Dal Arhar Dal Tur Dal Toor Dal Arhar Dal Tur Dal Pigeon Pea
62,Kabuli Chana,• Dals are a rich source of protein,• Hygienically packed kabuli chana which is free from impurities such as weevils and stones,• It can fulfil the nutritional and dietary requirements of an entire meal,Dal & Pulses,Kabuli_Chana.jpg,70,72,0,500gm,2,White Chhole Chana Chole Chana  White Chana Chick Peas
233,Khopra Katta,• Dry Copra/Coconut is rich in dietary fibre and it helps in having a healthy heart,"• It improves brain function, boosts the immune system, reduces anaemia and the risk of cancer",• Dry coconut whole (Gola) is a good dry fruits for health,Dal & Pulses,Khopra_Katta.jpg,120,130,0,500gm,10,Copra Dry Coconut Kopra Gota Gotta Dry Coconut Halves Nariyal Narel Copra Kopra Dry Nariyal Coconut Kuridi Kobbari Sabut Gola Coconut Sabut Gota
